step,trust,system_performance,voter_satisfaction,representativity,equity_dimension_var,party_position_stability,declared_real_distance,discovered_inconsistency,latent_inconsistency,mean_electoral_support,bills_passed,total_bills,pass_rate,ai_proportion,transparency,transparency_input,transparency_process,transparency_output,party_positions,scenario_id,replicate,seed,num_parties,num_seats,num_voters,dimension,adapt_threshold,adapt_rate
1,0.7949659084003966,0.5331341496356907,0.5943776838087256,0.5790752506114081,0.01876723872751686,0.0,0.37264970403211806,0.0,0.37264970403211806,-0.8938169665725296,0,1,0.0,0.0,0.0,0.0,0.0,0.0,"[{'party': 'Party 0', 'declared_vector': [-0.47329578591465915, 0.965209049757709, 0.5197961420628378], 'real_vector': [-0.250919762305275, 0.9014286128198323, 0.4639878836228102], 'inconsistency': 0.0}, {'party': 'Party 1', 'declared_vector': [0.6182482125533962, -1.0527258885953856, 1.0483317130411816], 'real_vector': [0.416145155592091, -0.9588310114083951, 0.9398197043239886], 'inconsistency': 0.0}, {'party': 'Party 2', 'declared_vector': [-1.158859868124519, -0.4431170438137517, -0.22822649789065907], 'real_vector': [-0.6363500655857988, -0.6331909802931324, -0.39151551408092455], 'inconsistency': 0.0}, {'party': 'Party 3', 'declared_vector': [-1.0257874782190886, -0.12258094914525286, -0.31243157350992373], 'real_vector': [-0.7210122786959163, -0.4157107029295637, -0.2672763134126166], 'inconsistency': 0.0}]",0,0,42,4,40,100,3,1.0,0.2
2,0.7949659084003966,0.7331341496356907,0.5943776838087256,0.5790752506114081,0.01876723872751686,0.0,0.37264970403211806,0.0,0.37264970403211806,-0.8938169665725296,1,2,0.5,0.0,0.0,0.0,0.0,0.0,"[{'party': 'Party 0', 'declared_vector': [-0.47329578591465915, 0.965209049757709, 0.5197961420628378], 'real_vector': [-0.250919762305275, 0.9014286128198323, 0.4639878836228102], 'inconsistency': 0.0}, {'party': 'Party 1', 'declared_vector': [0.6182482125533962, -1.0527258885953856, 1.0483317130411816], 'real_vector': [0.416145155592091, -0.9588310114083951, 0.9398197043239886], 'inconsistency': 0.0}, {'party': 'Party 2', 'declared_vector': [-1.158859868124519, -0.4431170438137517, -0.22822649789065907], 'real_vector': [-0.6363500655857988, -0.6331909802931324, -0.39151551408092455], 'inconsistency': 0.0}, {'party': 'Party 3', 'declared_vector': [-1.0257874782190886, -0.12258094914525286, -0.31243157350992373], 'real_vector': [-0.7210122786959163, -0.4157107029295637, -0.2672763134126166], 'inconsistency': 0.0}]",0,0,42,4,40,100,3,1.0,0.2
3,0.7949659084003966,0.666467482969024,0.5943776838087256,0.5790752506114081,0.01876723872751686,0.0,0.37264970403211806,0.0,0.37264970403211806,-0.8938169665725296,1,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,"[{'party': 'Party 0', 'declared_vector': [-0.47329578591465915, 0.965209049757709, 0.5197961420628378], 'real_vector': [-0.250919762305275, 0.9014286128198323, 0.4639878836228102], 'inconsistency': 0.0}, {'party': 'Party 1', 'declared_vector': [0.6182482125533962, -1.0527258885953856, 1.0483317130411816], 'real_vector': [0.416145155592091, -0.9588310114083951, 0.9398197043239886], 'inconsistency': 0.0}, {'party': 'Party 2', 'declared_vector': [-1.158859868124519, -0.4431170438137517, -0.22822649789065907], 'real_vector': [-0.6363500655857988, -0.6331909802931324, -0.39151551408092455], 'inconsistency': 0.0}, {'party': 'Party 3', 'declared_vector': [-1.0257874782190886, -0.12258094914525286, -0.31243157350992373], 'real_vector': [-0.7210122786959163, -0.4157107029295637, -0.2672763134126166], 'inconsistency': 0.0}]",0,0,42,4,40,100,3,1.0,0.2
4,0.7949659084003966,0.6331341496356908,0.5943776838087256,0.5790752506114081,0.01876723872751686,0.0,0.37264970403211806,0.0,0.37264970403211806,-0.8938169665725296,1,4,0.25,0.0,0.0,0.0,0.0,0.0,"[{'party': 'Party 0', 'declared_vector': [-0.47329578591465915, 0.965209049757709, 0.5197961420628378], 'real_vector': [-0.250919762305275, 0.9014286128198323, 0.4639878836228102], 'inconsistency': 0.0}, {'party': 'Party 1', 'declared_vector': [0.6182482125533962, -1.0527258885953856, 1.0483317130411816], 'real_vector': [0.416145155592091, -0.9588310114083951, 0.9398197043239886], 'inconsistency': 0.0}, {'party': 'Party 2', 'declared_vector': [-1.158859868124519, -0.4431170438137517, -0.22822649789065907], 'real_vector': [-0.6363500655857988, -0.6331909802931324, -0.39151551408092455], 'inconsistency': 0.0}, {'party': 'Party 3', 'declared_vector': [-1.0257874782190886, -0.12258094914525286, -0.31243157350992373], 'real_vector': [-0.7210122786959163, -0.4157107029295637, -0.2672763134126166], 'inconsistency': 0.0}]",0,0,42,4,40,100,3,1.0,0.2
5,0.7949659084003966,0.6131341496356908,0.5943776838087256,0.5790752506114081,0.01876723872751686,0.0,0.37264970403211806,0.0,0.37264970403211806,-0.8938169665725296,1,5,0.2,0.0,0.0,0.0,0.0,0.0,"[{'party': 'Party 0', 'declared_vector': [-0.47329578591465915, 0.965209049757709, 0.5197961420628378], 'real_vector': [-0.250919762305275, 0.9014286128198323, 0.4639878836228102], 'inconsistency': 0.0}, {'party': 'Party 1', 'declared_vector': [0.6182482125533962, -1.0527258885953856, 1.0483317130411816], 'real_vector': [0.416145155592091, -0.9588310114083951, 0.9398197043239886], 'inconsistency': 0.0}, {'party': 'Party 2', 'declared_vector': [-1.158859868124519, -0.4431170438137517, -0.22822649789065907], 'real_vector': [-0.6363500655857988, -0.6331909802931324, -0.39151551408092455], 'inconsistency': 0.0}, {'party': 'Party 3', 'declared_vector': [-1.0257874782190886, -0.12258094914525286, -0.31243157350992373], 'real_vector': [-0.7210122786959163, -0.4157107029295637, -0.2672763134126166], 'inconsistency': 0.0}]",0,0,42,4,40,100,3,1.0,0.2
6,0.7949659084003966,0.5998008163023574,0.5943776838087256,0.5790752506114081,0.01876723872751686,0.0,0.37264970403211806,0.0,0.37264970403211806,-0.8938169665725296,1,6,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,"[{'party': 'Party 0', 'declared_vector': [-0.47329578591465915, 0.965209049757709, 0.5197961420628378], 'real_vector': [-0.250919762305275, 0.9014286128198323, 0.4639878836228102], 'inconsistency': 0.0}, {'party': 'Party 1', 'declared_vector': [0.6182482125533962, -1.0527258885953856, 1.0483317130411816], 'real_vector': [0.416145155592091, -0.9588310114083951, 0.9398197043239886], 'inconsistency': 0.0}, {'party': 'Party 2', 'declared_vector': [-1.158859868124519, -0.4431170438137517, -0.22822649789065907], 'real_vector': [-0.6363500655857988, -0.6331909802931324, -0.39151551408092455], 'inconsistency': 0.0}, {'party': 'Party 3', 'declared_vector': [-1.0257874782190886, -0.12258094914525286, -0.31243157350992373], 'real_vector': [-0.7210122786959163, -0.4157107029295637, -0.2672763134126166], 'inconsistency': 0.0}]",0,0,42,4,40,100,3,1.0,0.2
7,0.7949659084003966,0.5902770067785479,0.5943776838087256,0.5790752506114081,0.01876723872751686,0.0,0.37264970403211806,0.0,0.37264970403211806,-0.8938169665725296,1,7,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,"[{'party': 'Party 0', 'declared_vector': [-0.47329578591465915, 0.965209049757709, 0.5197961420628378], 'real_vector': [-0.250919762305275, 0.9014286128198323, 0.4639878836228102], 'inconsistency': 0.0}, {'party': 'Party 1', 'declared_vector': [0.6182482125533962, -1.0527258885953856, 1.0483317130411816], 'real_vector': [0.416145155592091, -0.9588310114083951, 0.9398197043239886], 'inconsistency': 0.0}, {'party': 'Party 2', 'declared_vector': [-1.158859868124519, -0.4431170438137517, -0.22822649789065907], 'real_vector': [-0.6363500655857988, -0.6331909802931324, -0.39151551408092455], 'inconsistency': 0.0}, {'party': 'Party 3', 'declared_vector': [-1.0257874782190886, -0.12258094914525286, -0.31243157350992373], 'real_vector': [-0.7210122786959163, -0.4157107029295637, -0.2672763134126166], 'inconsistency': 0.0}]",0,0,42,4,40,100,3,1.0,0.2
8,0.7949659084003966,0.5831341496356908,0.5943776838087256,0.5790752506114081,0.01876723872751686,0.0,0.37264970403211806,0.0,0.37264970403211806,-0.8938169665725296,1,8,0.125,0.0,0.0,0.0,0.0,0.0,"[{'party': 'Party 0', 'declared_vector': [-0.47329578591465915, 0.965209049757709, 0.5197961420628378], 'real_vector': [-0.250919762305275, 0.9014286128198323, 0.4639878836228102], 'inconsistency': 0.0}, {'party': 'Party 1', 'declared_vector': [0.6182482125533962, -1.0527258885953856, 1.0483317130411816], 'real_vector': [0.416145155592091, -0.9588310114083951, 0.9398197043239886], 'inconsistency': 0.0}, {'party': 'Party 2', 'declared_vector': [-1.158859868124519, -0.4431170438137517, -0.22822649789065907], 'real_vector': [-0.6363500655857988, -0.6331909802931324, -0.39151551408092455], 'inconsistency': 0.0}, {'party': 'Party 3', 'declared_vector': [-1.0257874782190886, -0.12258094914525286, -0.31243157350992373], 'real_vector': [-0.7210122786959163, -0.4157107029295637, -0.2672763134126166], 'inconsistency': 0.0}]",0,0,42,4,40,100,3,1.0,0.2
9,0.7949659084003966,0.5775785940801352,0.5943776838087256,0.5790752506114081,0.01876723872751686,0.0,0.37264970403211806,0.0,0.37264970403211806,-0.8938169665725296,1,9,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,"[{'party': 'Party 0', 'declared_vector': [-0.47329578591465915, 0.965209049757709, 0.5197961420628378], 'real_vector': [-0.250919762305275, 0.9014286128198323, 0.4639878836228102], 'inconsistency': 0.0}, {'party': 'Party 1', 'declared_vector': [0.6182482125533962, -1.0527258885953856, 1.0483317130411816], 'real_vector': [0.416145155592091, -0.9588310114083951, 0.9398197043239886], 'inconsistency': 0.0}, {'party': 'Party 2', 'declared_vector': [-1.158859868124519, -0.4431170438137517, -0.22822649789065907], 'real_vector': [-0.6363500655857988, -0.6331909802931324, -0.39151551408092455], 'inconsistency': 0.0}, {'party': 'Party 3', 'declared_vector': [-1.0257874782190886, -0.12258094914525286, -0.31243157350992373], 'real_vector': [-0.7210122786959163, -0.4157107029295637, -0.2672763134126166], 'inconsistency': 0.0}]",0,0,42,4,40,100,3,1.0,0.2
10,0.7949659084003966,0.5731341496356908,0.5943776838087256,0.5790752506114081,0.01876723872751686,0.0,0.37264970403211806,0.0,0.37264970403211806,-0.8938169665725296,1,10,0.1,0.0,0.0,0.0,0.0,0.0,"[{'party': 'Party 0', 'declared_vector': [-0.47329578591465915, 0.965209049757709, 0.5197961420628378], 'real_vector': [-0.250919762305275, 0.9014286128198323, 0.4639878836228102], 'inconsistency': 0.0}, {'party': 'Party 1', 'declared_vector': [0.6182482125533962, -1.0527258885953856, 1.0483317130411816], 'real_vector': [0.416145155592091, -0.9588310114083951, 0.9398197043239886], 'inconsistency': 0.0}, {'party': 'Party 2', 'declared_vector': [-1.158859868124519, -0.4431170438137517, -0.22822649789065907], 'real_vector': [-0.6363500655857988, -0.6331909802931324, -0.39151551408092455], 'inconsistency': 0.0}, {'party': 'Party 3', 'declared_vector': [-1.0257874782190886, -0.12258094914525286, -0.31243157350992373], 'real_vector': [-0.7210122786959163, -0.4157107029295637, -0.2672763134126166], 'inconsistency': 0.0}]",0,0,42,4,40,100,3,1.0,0.2
